snapshot_at,rank,symbol,market,rank_change,source,name,latest_price,latest_pct_change
2026-07-27 02:37:33.810097+00:00,1,688825,SH,0,eastmoney_hot_rank,N长鑫,48.76,463.05
2026-07-27 02:37:33.810097+00:00,2,601606,SH,0,eastmoney_hot_rank,长城军工,35.26,10.02
2026-07-27 02:37:33.810097+00:00,3,300750,SZ,0,eastmoney_hot_rank,宁德时代,401.5,4.83
2026-07-27 02:37:33.810097+00:00,4,600539,SH,0,eastmoney_hot_rank,狮头股份,17.81,-3.78
2026-07-27 02:37:33.810097+00:00,5,002156,SZ,0,eastmoney_hot_rank,通富微电,74.64,-2.61
2026-07-27 02:37:33.810097+00:00,6,001258,SZ,0,eastmoney_hot_rank,立新能源,14.33,9.98
2026-07-27 02:37:33.810097+00:00,7,600667,SH,1,eastmoney_hot_rank,太极实业,17.92,10.01
2026-07-27 02:37:33.810097+00:00,8,002083,SZ,-1,eastmoney_hot_rank,孚日股份,11.6,0.69
2026-07-27 02:37:33.810097+00:00,9,603690,SH,0,eastmoney_hot_rank,至纯科技,24.88,9.99
2026-07-27 02:37:33.810097+00:00,10,002208,SZ,0,eastmoney_hot_rank,合肥城建,12.79,-5.96
2026-07-27 02:37:33.810097+00:00,11,002185,SZ,0,eastmoney_hot_rank,华天科技,18.43,-0.86
2026-07-27 02:37:33.810097+00:00,12,000533,SZ,0,eastmoney_hot_rank,顺钠股份,10.51,10.05
2026-07-27 02:37:33.810097+00:00,13,002298,SZ,0,eastmoney_hot_rank,中电鑫龙,8.28,2.22
2026-07-27 02:37:33.810097+00:00,14,603986,SH,0,eastmoney_hot_rank,兆易创新,430.46,-5.81
2026-07-27 02:37:33.810097+00:00,15,002173,SZ,0,eastmoney_hot_rank,创新医疗,20.69,9.99
2026-07-27 02:37:33.810097+00:00,16,002409,SZ,1,eastmoney_hot_rank,雅克科技,167.4,8.74
2026-07-27 02:37:33.810097+00:00,17,000938,SZ,-1,eastmoney_hot_rank,紫光股份,40.02,-3.45
2026-07-27 02:37:33.810097+00:00,18,000021,SZ,0,eastmoney_hot_rank,深科技,41.97,-0.05
2026-07-27 02:37:33.810097+00:00,19,002580,SZ,0,eastmoney_hot_rank,圣阳股份,16.87,9.97
2026-07-27 02:37:33.810097+00:00,20,600584,SH,0,eastmoney_hot_rank,长电科技,81.21,-2.04
2026-07-27 02:37:33.810097+00:00,21,002498,SZ,0,eastmoney_hot_rank,汉缆股份,6.79,4.46
2026-07-27 02:37:33.810097+00:00,22,001309,SZ,0,eastmoney_hot_rank,德明利,395.74,-1.04
2026-07-27 02:37:33.810097+00:00,23,600396,SH,0,eastmoney_hot_rank,华电辽能,14.82,0.34
2026-07-27 02:37:33.810097+00:00,24,600664,SH,0,eastmoney_hot_rank,哈药股份,5.57,3.15
2026-07-27 02:37:33.810097+00:00,25,600617,SH,0,eastmoney_hot_rank,国新能源,3.73,10.03
2026-07-27 02:37:33.810097+00:00,26,000725,SZ,1,eastmoney_hot_rank,京东方Ａ,5.84,0.86
2026-07-27 02:37:33.810097+00:00,27,002879,SZ,-1,eastmoney_hot_rank,长缆科技,19.2,6.37
2026-07-27 02:37:33.810097+00:00,28,600206,SH,0,eastmoney_hot_rank,有研新材,46.2,5.0
2026-07-27 02:37:33.810097+00:00,29,600744,SH,0,eastmoney_hot_rank,华银电力,7.37,-2.12
2026-07-27 02:37:33.810097+00:00,30,002415,SZ,0,eastmoney_hot_rank,海康威视,37.22,4.87
2026-07-27 02:37:33.810097+00:00,31,301234,SZ,0,eastmoney_hot_rank,五洲医疗,70.5,20.0
2026-07-27 02:37:33.810097+00:00,32,601991,SH,0,eastmoney_hot_rank,大唐发电,6.07,-3.5
2026-07-27 02:37:33.810097+00:00,33,000566,SZ,1,eastmoney_hot_rank,海南海药,5.3,9.96
2026-07-27 02:37:33.810097+00:00,34,000670,SZ,-1,eastmoney_hot_rank,盈方微,6.84,7.89
2026-07-27 02:37:33.810097+00:00,35,601179,SH,2,eastmoney_hot_rank,中国西电,13.93,2.8
2026-07-27 02:37:33.810097+00:00,36,002388,SZ,0,eastmoney_hot_rank,新亚制程,4.8,10.09
2026-07-27 02:37:33.810097+00:00,37,002300,SZ,-2,eastmoney_hot_rank,太阳电缆,7.39,4.08
2026-07-27 02:37:33.810097+00:00,38,000636,SZ,2,eastmoney_hot_rank,风华高科,43.4,7.91
2026-07-27 02:37:33.810097+00:00,39,301583,SZ,-1,eastmoney_hot_rank,托伦斯,166.32,-4.41
2026-07-27 02:37:33.810097+00:00,40,603221,SH,-1,eastmoney_hot_rank,爱丽家居,15.4,10.0
2026-07-27 02:37:33.810097+00:00,41,601678,SH,0,eastmoney_hot_rank,滨化股份,6.92,5.81
2026-07-27 02:37:33.810097+00:00,42,300059,SZ,0,eastmoney_hot_rank,东方财富,19.44,0.21
2026-07-27 02:37:33.810097+00:00,43,601899,SH,0,eastmoney_hot_rank,紫金矿业,31.49,-0.06
2026-07-27 02:37:33.810097+00:00,44,000815,SZ,0,eastmoney_hot_rank,美利云,15.88,-1.91
2026-07-27 02:37:33.810097+00:00,45,300308,SZ,1,eastmoney_hot_rank,中际旭创,1043.0,-0.34
2026-07-27 02:37:33.810097+00:00,46,300433,SZ,-1,eastmoney_hot_rank,蓝思科技,36.48,-2.25
2026-07-27 02:37:33.810097+00:00,47,002407,SZ,0,eastmoney_hot_rank,多氟多,31.76,4.06
2026-07-27 02:37:33.810097+00:00,48,600722,SH,0,eastmoney_hot_rank,金牛化工,10.29,-9.97
2026-07-27 02:37:33.810097+00:00,49,600519,SH,0,eastmoney_hot_rank,贵州茅台,1288.76,-0.67
2026-07-27 02:37:33.810097+00:00,50,603127,SH,3,eastmoney_hot_rank,昭衍新药,49.79,10.01
